"id","device","sum_spent","group","join_dt","country","gender"
"1000000","I","0","B","2023-01-28","CAN","M"
"1000001","A","0","A","2023-01-27","BRA","M"
"1000002","A","0","A","2023-02-01","FRA","M"
"1000003","I","0","B","2023-01-25","BRA","M"
"1000004","A","0","A","2023-02-04","DEU","F"
"1000005","A","0","B","2023-01-26","GBR","F"
"1000006","A","0","B","2023-01-31","ESP","M"
"1000007","A","0","A","2023-01-25","BRA","F"
"1000008","A","0","A","2023-02-05","BRA","F"
"1000009","A","0","A","2023-01-31","USA","unknown"
"1000010","I","0","B","2023-02-01","BRA","M"
"1000012","A","0","B","2023-01-25","USA","M"
"1000013","A","0","A","2023-01-25","GBR","F"
"1000014","A","0","A","2023-01-28","USA","M"
"1000015","A","0","A","2023-01-29","AUS","F"
"1000016","I","0","A","2023-01-28","DEU","F"
"1000017","A","0","B","2023-01-26","MEX","O"
"1000018","I","0","B","2023-01-26","USA","M"
"1000019","A","0","B","2023-01-25","MEX","F"
"1000020","A","0","A","2023-02-01","AUS","M"
"1000021","A","0","B","2023-01-29","GBR","M"
"1000022","A","0","B","2023-01-25","DEU","F"
"1000023","I","0","B","2023-01-29","BRA","M"
"1000024","A","0","A","2023-01-25","CAN","M"
"1000025","I","0","A","2023-01-25","USA","M"
"1000026","A","0","B","2023-01-27","DEU","F"
"1000027","I","0","B","2023-01-31","BRA","unknown"
"1000028","A","0","A","2023-01-28","BRA","F"
"1000029","A","0","A","2023-01-25","MEX","M"
"1000030","I","0","A","2023-01-26","FRA","F"
"1000031","I","0","B","2023-01-25","GBR","F"
"1000032","I","0","A","2023-01-27","GBR","unknown"
"1000033","A","0","A","2023-01-31","FRA","unknown"
"1000034","A","0","A","2023-01-26","USA","M"
"1000035","A","0","B","2023-01-27","USA","F"
"1000036","A","0","B","2023-01-30","USA","F"
"1000037","A","0","B","2023-01-26","TUR","M"
"1000038","A","0","A","2023-01-25","BRA","M"
"1000039","A","36.65","B","2023-02-04","GBR","F"
"1000040","A","0","A","2023-01-25","USA","F"
"1000041","A","0","A","2023-01-27","CAN","M"
"1000042","I","0","A","2023-01-25","BRA","F"
"1000043","A","0","B","2023-01-25","unknown","F"
"1000044","A","0","B","2023-01-27","USA","unknown"
"1000045","I","51.58","B","2023-01-26","USA","F"
"1000046","I","0","A","2023-01-26","BRA","M"
"1000047","A","0","A","2023-01-26","USA","F"
"1000048","I","0","A","2023-01-26","CAN","F"
"1000049","A","0","A","2023-01-26","USA","F"
"1000050","A","0","A","2023-01-29","MEX","M"
"1000051","I","0","B","2023-01-29","MEX","unknown"
"1000052","I","0","B","2023-01-30","BRA","M"
"1000053","A","0","A","2023-01-28","BRA","M"
"1000054","A","0","B","2023-01-25","GBR","F"
"1000055","A","0","A","2023-01-25","ESP","M"
"1000056","A","0","B","2023-01-29","AUS","M"
"1000057","A","0","B","2023-01-26","BRA","O"
"1000058","A","0","A","2023-01-26","TUR","F"
"1000059","A","0","A","2023-01-27","DEU","F"
"1000061","A","0","B","2023-01-25","DEU","M"
"1000062","I","0","B","2023-01-25","AUS","F"
"1000063","A","0","A","2023-01-27","USA","F"
"1000064","A","0","B","2023-01-31","CAN","M"
"1000065","I","0","B","2023-02-01","TUR","F"
"1000066","A","0","A","2023-01-25","DEU","unknown"
"1000067","A","0","A","2023-01-27","BRA","M"
"1000068","A","0","B","2023-01-30","GBR","F"
"1000069","A","0","B","2023-01-30","ESP","M"
"1000070","I","0","A","2023-01-26","ESP","M"
"1000071","I","6.71","B","2023-01-31","USA","F"
"1000072","I","0","B","2023-01-28","DEU","F"
"1000073","A","0","A","2023-01-29","USA","M"
"1000074","A","0","B","2023-01-30","BRA","O"
"1000075","A","0","A","2023-01-30","GBR","M"
"1000076","I","0","A","2023-01-25","USA","F"
"1000077","unknown","0","A","2023-01-25","AUS","F"
"1000078","A","0","A","2023-01-26","FRA","F"
"1000080","A","0","A","2023-01-26","USA","unknown"
"1000081","A","0","A","2023-01-26","USA","F"
"1000082","A","0","B","2023-01-25","BRA","M"
"1000083","A","0","A","2023-01-27","BRA","F"
"1000084","A","0","A","2023-01-26","MEX","M"
"1000085","I","0","A","2023-01-26","MEX","M"
"1000086","A","0","B","2023-01-28","BRA","M"
"1000087","A","0","B","2023-01-28","ESP","M"
"1000088","A","0","B","2023-01-27","unknown","O"
"1000089","I","0","A","2023-01-25","BRA","F"
"1000090","A","0","B","2023-01-27","USA","F"
"1000091","A","0","B","2023-01-26","BRA","M"
"1000092","I","0","B","2023-02-03","BRA","unknown"
"1000093","I","0","B","2023-01-30","TUR","M"
"1000094","A","0","B","2023-01-26","DEU","M"
"1000095","I","0","B","2023-01-27","CAN","F"
"1000096","A","0","B","2023-01-29","USA","F"
"1000097","I","0","B","2023-01-26","MEX","O"
"1000098","A","0","A","2023-01-30","GBR","M"
"1000099","A","0","A","2023-02-03","USA","unknown"
"1000100","A","0","B","2023-01-31","unknown","M"
"1000101","A","23.80","B","2023-02-02","MEX","F"
"1000102","A","0","A","2023-01-28","USA","M"
"1000103","A","0","A","2023-02-02","BRA","M"
"1000104","A","0","A","2023-01-29","USA","unknown"
"1000105","I","0","A","2023-01-25","USA","M"
"1000106","A","0","A","2023-01-27","TUR","unknown"
"1000107","A","0","A","2023-01-25","BRA","unknown"
"1000108","A","0","B","2023-02-02","MEX","M"
"1000109","A","0","B","2023-01-25","MEX","M"
"1000110","A","0","A","2023-01-29","USA","M"
"1000111","A","0","B","2023-01-27","GBR","unknown"
"1000112","A","0","A","2023-01-28","USA","F"
"1000113","A","0","B","2023-01-28","BRA","M"
"1000114","I","0","A","2023-01-28","CAN","M"
"1000115","A","0","A","2023-01-27","MEX","M"
"1000117","I","0","A","2023-01-29","ESP","unknown"
"1000118","unknown","0","B","2023-01-25","USA","M"
"1000119","A","0","B","2023-01-29","BRA","F"
"1000120","I","0","B","2023-01-28","TUR","M"
"1000121","A","0","B","2023-01-25","ESP","F"
"1000122","A","0","A","2023-01-28","BRA","F"
"1000123","I","100.74","B","2023-01-26","DEU","unknown"
"1000124","A","0","B","2023-01-30","MEX","M"
"1000125","A","0","A","2023-02-04","DEU","F"
"1000126","I","0","A","2023-02-03","TUR","F"
"1000127","A","0","B","2023-01-26","USA","F"
"1000128","A","0","B","2023-02-03","GBR","M"
"1000129","I","0","A","2023-01-31","DEU","M"
"1000130","A","0","B","2023-01-27","USA","M"
"1000131","A","0","A","2023-01-25","BRA","unknown"
"1000132","I","0","B","2023-02-06","USA","F"
"1000133","I","0","A","2023-01-29","USA","unknown"
"1000134","I","0","B","2023-01-28","USA","unknown"
"1000135","I","0","B","2023-01-25","USA","M"
"1000136","A","0","A","2023-01-25","MEX","M"
"1000137","A","0","A","2023-01-29","USA","M"
"1000138","I","0","B","2023-01-28","BRA","M"
"1000139","I","0","A","2023-01-25","USA","unknown"
"1000140","I","0","A","2023-01-27","USA","M"
"1000141","A","11.49","A","2023-01-25","BRA","M"
"1000142","unknown","0","B","2023-01-26","USA","F"
"1000143","I","0","B","2023-01-25","USA","unknown"
"1000144","I","0","A","2023-01-26","USA","M"
"1000145","I","0","A","2023-01-25","MEX","unknown"
"1000146","A","0","A","2023-01-29","BRA","F"
"1000147","A","0","A","2023-02-03","TUR","F"
"1000148","I","0","A","2023-01-26","FRA","M"
"1000149","I","0","A","2023-01-25","unknown","M"
"1000150","I","0","B","2023-02-05","USA","F"
"1000151","I","0","A","2023-01-28","MEX","M"
"1000152","I","0","B","2023-02-06","MEX","F"
"1000153","A","0","B","2023-01-27","USA","F"
"1000155","I","0","A","2023-01-26","DEU","M"
"1000156","I","0","A","2023-01-25","BRA","M"
"1000157","I","0","A","2023-01-28","ESP","F"
"1000158","I","0","A","2023-01-26","TUR","M"
"1000160","A","35.34","A","2023-01-25","USA","F"
"1000161","A","0","A","2023-01-31","unknown","M"
"1000162","A","52.92","A","2023-01-27","BRA","M"
"1000163","A","0","B","2023-01-29","BRA","F"
"1000164","A","0","B","2023-01-26","BRA","F"
"1000165","I","0","B","2023-01-30","GBR","M"
"1000166","A","0","A","2023-02-04","DEU","M"
"1000167","A","0","A","2023-01-25","BRA","F"
"1000168","A","0","A","2023-02-05","BRA","F"
"1000169","I","0","A","2023-01-26","USA","O"
"1000170","A","0","B","2023-02-01","USA","M"
"1000171","I","0","A","2023-01-27","USA","M"
"1000172","I","0","A","2023-01-25","USA","unknown"
"1000173","I","0","A","2023-01-25","USA","F"
"1000174","A","0","B","2023-01-29","TUR","M"
"1000175","I","0","A","2023-01-25","AUS","F"
"1000177","A","0","A","2023-02-02","DEU","F"
"1000178","I","0","B","2023-02-03","USA","M"
"1000179","A","0","B","2023-01-27","USA","M"
"1000180","I","0","B","2023-01-25","USA","M"
"1000181","I","0","A","2023-02-03","USA","F"
"1000182","A","0","B","2023-01-31","TUR","F"
"1000183","A","0","B","2023-01-27","MEX","M"
"1000184","A","0","A","2023-01-25","ESP","M"
"1000185","I","53.07","B","2023-02-04","MEX","F"
"1000186","A","0","A","2023-02-01","MEX","F"
"1000187","I","0","B","2023-01-26","unknown","M"
"1000188","A","0","B","2023-01-25","USA","M"
"1000189","I","0","B","2023-01-25","CAN","unknown"
"1000190","I","0","A","2023-02-05","GBR","M"
"1000191","A","0","B","2023-01-25","FRA","F"
"1000192","I","0","A","2023-02-05","ESP","F"
"1000193","A","0","B","2023-01-26","BRA","F"
"1000194","A","0","A","2023-01-31","MEX","F"
"1000195","A","0","A","2023-01-25","GBR","F"
"1000196","A","0","A","2023-01-26","MEX","M"
"1000197","A","0","B","2023-01-30","TUR","F"
"1000198","A","0","A","2023-01-28","USA","M"
"1000199","I","0","B","2023-02-06","MEX","F"
"1000200","I","166.32","A","2023-01-26","USA","F"
"1000201","I","0","B","2023-01-27","CAN","F"
"1000202","A","0","A","2023-01-26","MEX","M"
"1000203","A","0","A","2023-01-26","DEU","M"
"1000204","A","0","B","2023-01-27","DEU","M"
"1000205","A","0","A","2023-01-29","BRA","unknown"
"1000206","I","0","A","2023-01-26","USA","F"
"1000207","A","0","A","2023-01-26","TUR","F"
"1000208","I","0","A","2023-01-25","USA","F"
"1000209","A","0","B","2023-02-05","ESP","unknown"
"1000210","I","0","A","2023-01-28","FRA","F"
"1000211","A","0","B","2023-01-30","USA","M"
"1000212","A","0","A","2023-01-31","MEX","F"
"1000213","I","0","B","2023-01-26","AUS","M"
"1000214","A","0","B","2023-01-25","FRA","F"
"1000215","I","0","B","2023-02-02","unknown","M"
"1000216","I","0","B","2023-01-27","USA","M"
"1000217","A","0","B","2023-01-26","BRA","unknown"
"1000218","A","0","B","2023-01-25","USA","F"
"1000219","A","0","A","2023-01-25","ESP","F"
"1000220","I","0","A","2023-01-26","USA","unknown"
"1000221","A","0","A","2023-01-27","DEU","M"
"1000222","A","0","A","2023-02-01","USA","M"
"1000223","I","0","A","2023-02-01","DEU","M"
"1000224","A","0","A","2023-02-05","GBR","F"
"1000225","A","0","B","2023-01-28","USA","M"
"1000226","unknown","0","A","2023-01-31","CAN","M"
"1000227","I","0","A","2023-01-25","GBR","F"
"1000228","I","0","B","2023-02-01","USA","F"
"1000229","I","0","A","2023-01-28","USA","M"
"1000230","I","0","B","2023-01-25","BRA","O"
"1000231","I","0","B","2023-01-25","FRA","F"
"1000232","A","0","B","2023-01-29","BRA","F"
"1000233","A","0","A","2023-01-26","MEX","M"
"1000234","A","0","B","2023-02-02","GBR","M"
"1000235","I","0","A","2023-02-06","FRA","M"
"1000236","I","0","B","2023-02-05","BRA","M"
"1000237","I","13.17","B","2023-01-29","USA","M"
"1000238","I","0","B","2023-01-27","USA","M"
"1000239","A","0","A","2023-01-25","TUR","F"
"1000240","I","0","B","2023-02-05","CAN","M"
"1000241","A","0","A","2023-01-25","BRA","unknown"
"1000242","A","0","B","2023-01-27","BRA","M"
"1000243","A","0","A","2023-01-26","USA","F"
"1000244","A","0","B","2023-01-28","USA","M"
"1000245","A","0","A","2023-01-25","MEX","F"
"1000246","I","0","B","2023-01-26","TUR","F"
"1000247","A","0","A","2023-01-28","FRA","F"
"1000248","A","0","A","2023-01-25","FRA","M"
"1000249","unknown","0","A","2023-01-26","GBR","F"
"1000250","A","0","B","2023-02-04","FRA","F"
"1000251","A","0","A","2023-01-26","USA","M"
"1000252","I","0","A","2023-02-01","TUR","F"
"1000253","A","40.32","B","2023-02-06","DEU","M"
"1000254","A","0","B","2023-01-30","ESP","M"
"1000255","A","0","B","2023-01-26","FRA","unknown"
"1000256","I","0","B","2023-01-28","USA","unknown"
"1000257","A","0","B","2023-01-29","GBR","F"
"1000258","I","0","A","2023-01-27","CAN","F"
"1000259","A","0","A","2023-02-06","BRA","M"
"1000260","A","0","B","2023-02-04","USA","F"
"1000261","A","205.98","A","2023-01-25","TUR","F"
"1000262","A","0","A","2023-01-31","MEX","M"
"1000263","A","0","B","2023-01-31","USA","M"
"1000264","A","0","A","2023-01-25","BRA","F"
"1000265","A","0","A","2023-01-28","USA","F"
"1000266","A","0","B","2023-01-31","GBR","M"
"1000267","I","0","B","2023-01-25","USA","M"
"1000268","A","0","A","2023-01-31","BRA","F"
"1000269","A","116.29","A","2023-01-25","USA","M"
"1000270","I","0","A","2023-01-26","AUS","F"
"1000271","A","0","A","2023-01-28","MEX","M"
"1000272","I","0","B","2023-01-29","FRA","M"
"1000273","I","0","B","2023-02-03","DEU","F"
"1000274","I","0","A","2023-01-25","DEU","M"
"1000275","I","0","A","2023-01-26","USA","M"
"1000276","I","0","A","2023-01-26","BRA","M"
"1000277","A","0","A","2023-02-03","BRA","F"
"1000278","I","0","A","2023-01-29","DEU","unknown"
"1000279","A","0","A","2023-01-25","USA","M"
"1000280","A","0","A","2023-02-01","MEX","F"
"1000281","A","0","B","2023-01-28","USA","M"
"1000282","A","0","B","2023-02-04","MEX","M"
"1000283","I","0","B","2023-02-02","USA","M"
"1000284","I","0","B","2023-01-25","BRA","unknown"
"1000285","I","0","A","2023-01-25","unknown","F"
"1000286","I","0","A","2023-01-30","USA","M"
"1000287","I","0","B","2023-01-27","DEU","F"
"1000288","I","0","A","2023-01-28","TUR","F"
"1000289","A","0","B","2023-02-04","DEU","M"
"1000290","I","0","A","2023-01-26","FRA","M"
"1000291","I","0","A","2023-01-28","ESP","M"
"1000292","A","0","A","2023-01-26","ESP","unknown"
"1000294","A","0","B","2023-02-02","MEX","F"
"1000295","A","0","B","2023-01-27","USA","F"
"1000296","A","0","A","2023-01-29","USA","M"
"1000297","A","0","B","2023-01-26","BRA","unknown"
"1000298","A","0","A","2023-01-26","CAN","F"
"1000299","I","0","B","2023-01-27","FRA","M"
"1000300","A","0","A","2023-01-26","MEX","F"
"1000301","I","0","B","2023-01-25","TUR","F"
"1000302","I","0","A","2023-01-25","BRA","F"
"1000303","I","0","B","2023-01-29","DEU","F"
"1000304","A","0","A","2023-02-03","USA","M"
"1000305","A","0","A","2023-01-26","USA","F"
"1000306","A","0","A","2023-01-25","FRA","F"
"1000307","A","0","A","2023-01-31","BRA","M"
"1000308","A","0","A","2023-01-27","BRA","M"
"1000309","I","0","B","2023-01-26","USA","F"
"1000310","A","0","B","2023-01-27","BRA","F"
"1000311","I","0","A","2023-01-25","BRA","F"
"1000312","I","0","B","2023-02-04","MEX","F"
"1000313","I","0","B","2023-01-25","MEX","F"
"1000315","A","0","A","2023-02-02","BRA","F"
"1000316","A","0","A","2023-02-02","USA","F"
"1000317","A","0","B","2023-01-27","FRA","M"
"1000318","A","0","B","2023-02-03","USA","M"
"1000319","A","0","A","2023-01-28","AUS","F"
"1000320","A","0","A","2023-01-31","USA","M"
"1000321","A","0","A","2023-01-30","USA","F"
"1000322","A","0","B","2023-01-27","CAN","unknown"
"1000323","A","0","B","2023-01-25","TUR","F"
